buyer_display_name,buyer_hash,purchase_count,first_purchase_year,most_recent_purchase_year,years_active,total_winning_bids,median_winning_bid,median_bid_multiple,max_bid_multiple,repeat_buyer_flag
Buyer 021,3b207c1cc897,1,2022,2022,1,544100.0,544100.0,27.7277,27.7277,False
Buyer 022,c37f508317b7,1,2024,2024,1,512100.0,512100.0,13.519,13.519,False
Buyer 023,4e6cb6c60b7b,1,2023,2023,1,429201.0,429201.0,16.7011,16.7011,False
Buyer 024,d7e21550aab6,1,2023,2023,1,390700.0,390700.0,15.3952,15.3952,False
Buyer 025,b13a5b2637ae,1,2025,2025,1,380400.0,380400.0,19.6915,19.6915,False
Buyer 026,16a22f7a1432,1,2021,2021,1,351700.0,351700.0,19.0098,19.0098,False
Buyer 027,ddfdf3ff7b16,1,2023,2023,1,345301.0,345301.0,15.2491,15.2491,False
Buyer 028,cf40203eec76,1,2025,2025,1,311411.75,311411.75,15.6112,15.6112,False
Buyer 029,8c3957ae3a4d,1,2020,2020,1,255300.0,255300.0,14.5487,14.5487,False
Buyer 030,67144047c561,1,2021,2021,1,240600.0,240600.0,16.4378,16.4378,False
Buyer 031,fdeaebdd71cb,1,2022,2022,1,221900.0,221900.0,17.0745,17.0745,False
